name,location,area,urlinf,imginf
湯平温泉（ゆのひら）,大分県,九州,https://www.yukoyuko.net/onsen/0309,https://static.yukoyuko.net/images/onsen/onsen_0309_0001.jpg
霧島温泉郷（きりしま）,鹿児島県,九州,https://www.yukoyuko.net/onsen/0329,https://static.yukoyuko.net/images/onsen/onsen_0329_0001.jpg
いわき湯本温泉（いわきゆもと）,福島県,東北,https://www.yukoyuko.net/onsen/0027,https://static.yukoyuko.net/images/onsen/onsen_0027_0001.jpg
嬉野温泉（うれしの）,佐賀県,九州,https://www.yukoyuko.net/onsen/0028,https://static.yukoyuko.net/images/onsen/onsen_0028_0001.jpg
湯郷温泉（ゆのごう）,岡山県,中国,https://www.yukoyuko.net/onsen/0145,https://static.yukoyuko.net/images/onsen/onsen_0145_0001.jpg
磐梯熱海温泉（ばんだいあたみ）,福島県,東北,https://www.yukoyuko.net/onsen/0164,https://static.yukoyuko.net/images/onsen/onsen_0164_0001.jpg
穂高温泉郷（ほだか）,長野県,中部,https://www.yukoyuko.net/onsen/0557,https://static.yukoyuko.net/images/onsen/onsen_0557_0001.jpg
洞爺湖温泉（とうやこ）,北海道,北海道,https://www.yukoyuko.net/onsen/0667,https://static.yukoyuko.net/images/onsen/onsen_0667_0001.jpg
こんぴら温泉郷（こんぴら）,香川県,四国,https://www.yukoyuko.net/onsen/0780,https://static.yukoyuko.net/images/onsen/onsen_0780_0001.jpg
秋保温泉（あきう）,宮城県,東北,https://www.yukoyuko.net/onsen/0004,https://static.yukoyuko.net/images/onsen/onsen_0004_0001.jpg
飯坂温泉（いいざか）,福島県,東北,https://www.yukoyuko.net/onsen/0017,https://static.yukoyuko.net/images/onsen/onsen_0017_0001.jpg
片山津温泉（加賀温泉郷）（かたやまづ（かが））,石川県,中部,https://www.yukoyuko.net/onsen/0038,https://static.yukoyuko.net/images/onsen/onsen_0038_0001.jpg
天童温泉（てんどう）,山形県,東北,https://www.yukoyuko.net/onsen/0093,https://static.yukoyuko.net/images/onsen/onsen_0093_0001.jpg
鳴子温泉（鳴子温泉郷）（ナルコ）,宮城県,東北,https://www.yukoyuko.net/onsen/0105,https://static.yukoyuko.net/images/onsen/onsen_0105_0001.jpg
三朝温泉（みささ）,鳥取県,中国,https://www.yukoyuko.net/onsen/0131,https://static.yukoyuko.net/images/onsen/onsen_0131_0001.jpg
山鹿温泉（やまが）,熊本県,九州,https://www.yukoyuko.net/onsen/0142,https://static.yukoyuko.net/images/onsen/onsen_0142_0001.jpg
湯田中温泉（ゆだなか）,長野県,中部,https://www.yukoyuko.net/onsen/0146,https://static.yukoyuko.net/images/onsen/onsen_0146_0001.jpg
山中温泉（加賀温泉郷）（やまなか（かが））,石川県,中部,https://www.yukoyuko.net/onsen/0257,https://static.yukoyuko.net/images/onsen/onsen_0257_0001.jpg
黒川温泉（くろかわ）,熊本県,九州,https://www.yukoyuko.net/onsen/0378,https://static.yukoyuko.net/images/onsen/onsen_0378_0001.jpg
四万温泉（しま）,群馬県,関東,https://www.yukoyuko.net/onsen/0398,https://static.yukoyuko.net/images/onsen/onsen_0398_0001.jpg
湯西川温泉（ゆにしがわ）,栃木県,関東,https://www.yukoyuko.net/onsen/0500,https://static.yukoyuko.net/images/onsen/onsen_0500_0001.jpg
湯村温泉（ゆむら）,兵庫県,近畿,https://www.yukoyuko.net/onsen/0612,https://static.yukoyuko.net/images/onsen/onsen_0612_0001.jpg
原鶴温泉（はらづる）,福岡県,九州,https://www.yukoyuko.net/onsen/0628,https://static.yukoyuko.net/images/onsen/onsen_0628_0001.jpg
層雲峡温泉（そううんきょう）,北海道,北海道,https://www.yukoyuko.net/onsen/0663,https://static.yukoyuko.net/images/onsen/onsen_0663_0001.jpg
湯の山温泉（ゆのやま）,三重県,近畿,https://www.yukoyuko.net/onsen/0689,https://static.yukoyuko.net/images/onsen/onsen_0689_0001.jpg
